Фото,Товар,Бренд,Категория,Артикул,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://basket-10.wbbasket.ru/vol1515/part151517/151517834/images/c246x328/1.webp,Шапка для бани и сауны Хозяин бани,Сималенд,Шапки для бани,151517834,14 295 ₽,75 шт.,"0,00 ₽",0 шт.,248 ₽,180 ₽,"195,93 ₽"
https://basket-24.wbbasket.ru/vol4182/part418202/418202489/images/c246x328/1.webp,Статуэтка ангел в розовом венке благодарность 1 шт,Сималенд,Статуэтки,418202489,10 425 ₽,75 шт.,"4 170,00 ₽",30 шт.,173 ₽,139 ₽,"153,00 ₽"
https://basket-20.wbbasket.ru/vol3362/part336203/336203902/images/c246x328/1.webp,Кафф серьга объёмная,,Серьги,336203902,11 304 ₽,75 шт.,"3 240,00 ₽",21 шт.,165 ₽,150 ₽,"158,52 ₽"
https://basket-17.wbbasket.ru/vol2749/part274991/274991082/images/c246x328/1.webp,Сувенир Кролик толстячок,Сималенд,Фигурки,274991082,32 824 ₽,75 шт.,"2 575,00 ₽",5 шт.,442 ₽,376 ₽,"408,00 ₽"
https://basket-16.wbbasket.ru/vol2563/part256341/256341031/images/c246x328/1.webp,"Набор украшений на елку Дед Мороз 2 шт 10х9,5 см",Зимнее волшебство,Елочные украшения,256341031,18 975 ₽,75 шт.,"7 590,00 ₽",30 шт.,285 ₽,230 ₽,"258,95 ₽"
https://basket-03.wbbasket.ru/vol411/part41124/41124682/images/c246x328/1.webp,Фигурка,Сималенд,Фигурки,41124682,33 348 ₽,75 шт.,"1 111,00 ₽",2 шт.,518 ₽,441 ₽,"474,06 ₽"
https://basket-10.wbbasket.ru/vol1529/part152980/152980615/images/c246x328/1.webp,Значок Таро,Queen fair,Значки,152980615,12 375 ₽,75 шт.,"2 517,00 ₽",14 шт.,242 ₽,165 ₽,"189,18 ₽"
https://basket-10.wbbasket.ru/vol1508/part150805/150805065/images/c246x328/1.webp,"Ароматизатор для бани и ванны Тонизирующий пар, 100мл",Добропаровъ,Ароматизаторы для бани,150805065,8 427 ₽,75 шт.,"4 842,00 ₽",42 шт.,141 ₽,111 ₽,"127,57 ₽"
https://basket-15.wbbasket.ru/vol2354/part235401/235401201/images/c246x328/1.webp,Почвогрунт Рассады и Овощей,ГЕРА,Грунты для растений,235401201,39 300 ₽,75 шт.,"17 030,00 ₽",32 шт.,601 ₽,524 ₽,"561,06 ₽"
https://basket-10.wbbasket.ru/vol1446/part144673/144673639/images/c246x328/1.webp,Эфирное масло Малина,Добропаровъ,Эфирные масла,144673639,7 552 ₽,75 шт.,"1 018,00 ₽",10 шт.,115 ₽,91 ₽,"101,52 ₽"
