Фото,Товар,Бренд,Артикул,Предмет,Выручка,Продажи,Упущенная выручка,Упущенные продажи,Макс,Мин,Сред
https://cdn1.ozone.ru/s3/multimedia-1-8/7477399628.jpg,"Круг абразивный шлифовальный под липучку Тундра, 125 мм, Р120, 10 шт.",Тундра,2202328665,круг шлифовальный,1 180 ₽,4 шт.,"0,00 ₽",0 шт.,442 ₽,282 ₽,"323,23 ₽"
https://cdn1.ozone.ru/s3/multimedia-e/6470084522.jpg,"Настольная лампа ""Дасия"" E14 40Вт черно-красный 18х18х29 см",Risalux,794753608,настольный светильник,1 180 ₽,1 шт.,"0,00 ₽",0 шт.,1 235 ₽,1 067 ₽,"1 149,49 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-v/7983662647.jpg,"Линейка измерительная Тундра, металлическая, шкала вытравлена, 500 мм",Тундра,2202365201,линейка/угольник строительный,1 176 ₽,5 шт.,"0,00 ₽",0 шт.,288 ₽,218 ₽,"237,87 ₽"
https://cdn1.ozone.ru/s3/multimedia-m/6104554606.jpg,"Стеклянный купол-клош на деревянной подставке ""Венсан - 1"", 20*15 см, коричневый",Evis,893818609,флористическая колба,1 176 ₽,1 шт.,"11 786,00 ₽",9 шт.,1 220 ₽,1 041 ₽,"1 157,32 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-v/8091004171.jpg,"Браслет женский бижутерия кожа ""Хиппи"" совунья, цвет коричневый",Queen Fair,2202341540,браслет,1 175 ₽,5 шт.,"0,00 ₽",0 шт.,243 ₽,228 ₽,"233,87 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-7/7796109715.jpg,"Диск пильный по дереву ЛОМ, стандартный рез, 190 х 30 мм (кольца на 20, 16), 36 зубьев",ЛОМ,1518669424,диск пильный,1 173 ₽,3 шт.,"2 092,00 ₽",4 шт.,442 ₽,375 ₽,"407,63 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-5/8094945857.jpg,Елка искусственная новогодняя белая 90 см,Зимнее волшебство,2208757776,елка искусственная,1 172 ₽,1 шт.,"0,00 ₽",0 шт.,1 184 ₽,733 ₽,"1 086,54 ₽"
https://cdn1.ozone.ru/s3/multimedia-5/6581055065.jpg,"Свеча-цилиндр, 4*6 см, 9 ч, белая",Sima-land,2202369140,свеча,1 162 ₽,8 шт.,"0,00 ₽",0 шт.,201 ₽,115 ₽,"182,07 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-9/6985410381.jpg,"Настольная лампа "" Шанталь"" Е14 40Вт коричневый 17х17х27см",Risalux,1537925751,настольный светильник,1 160 ₽,1 шт.,"0,00 ₽",0 шт.,1 177 ₽,875 ₽,"1 077,82 ₽"
https://cdn1.ozone.ru/s3/multimedia-x/6158370837.jpg,"Рамка для автомобильного номера, силиконовая, с пластиковым основанием",,522054516,рамка госномера,1 158 ₽,2 шт.,"0,00 ₽",0 шт.,582 ₽,481 ₽,"528,98 ₽"
https://cdn1.ozone.ru/s3/multimedia-1-y/8094974542.jpg,Фигурка новогодняя под ёлку Дед Мороз 30 см в сером костюмчике с лыжами праздничный декор и украшение для дома,Зимнее волшебство,321952051,игрушка под елку,1 156 ₽,1 шт.,"0,00 ₽",0 шт.,2 083 ₽,1 148 ₽,"1 706,53 ₽"
